,Degree,Betweenness,Eigenvector_Centrality,Closeness,Clustering_Coefficient
FC,0.9863013698630136,6.301377241967698e-05,0.08213395808382007,0.9864864864864865,0.9908702408702409
FN,0.9726027397260273,6.233833418728165e-05,0.08099403608639427,0.9733333333333334,0.9907102187593647
FS,0.9931506849315068,6.70959461630916e-05,0.08268235645485554,0.9931972789115646,0.9904214559386973
GPe,0.9863013698630136,6.303797295250517e-05,0.08213387797498659,0.9864864864864865,0.9908702408702409
GPi,0.9931506849315068,6.775653540869867e-05,0.08267845782495968,0.9931972789115646,0.9903256704980843
GU,0.9863013698630136,6.44161794394085e-05,0.08212618752697286,0.9864864864864865,0.9906759906759907
HEM,0.9726027397260273,6.442541978675685e-05,0.08098663937076994,0.9733333333333334,0.9904105483967636
IA,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
IC,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
IF,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
IG,0.9931506849315068,6.70959461630916e-05,0.08268235645485554,0.9931972789115646,0.9904214559386973
ILA,0.9794520547945205,6.097491635808758e-05,0.08158126053872135,0.9798657718120806,0.9910371318822023
IP,0.9794520547945205,6.503235543114194e-05,0.08155033852899941,0.9798657718120806,0.990446173544765
IPN,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
LA,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
LC,0.9863013698630136,6.506240687233278e-05,0.08212215538235454,0.9864864864864865,0.9905788655788655
LD,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
LH,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
LHA,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
LPO,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
LS,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
MA,0.9863013698630136,6.508607231325728e-05,0.08212616082402835,0.9864864864864865,0.9905788655788655
MA3,0.9931506849315068,6.70959461630916e-05,0.08268235645485554,0.9931972789115646,0.9904214559386973
MBO,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
MD,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
ME,0.9931506849315068,6.775653540869867e-05,0.08267845782495968,0.9931972789115646,0.9903256704980843
MEA,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
MEPO,0.9931506849315068,6.218651298350367e-05,0.08270940653762611,0.9931972789115646,0.9910919540229886
MEV,0.9520547945205479,5.826895976033145e-05,0.0793019238998151,0.954248366013072,0.9909289959336879
MH,0.9794520547945205,6.026521044808742e-05,0.0815777357500484,0.9798657718120806,0.9911356249384419
MO,0.9863013698630136,6.50426283996402e-05,0.08212204857057655,0.9864864864864865,0.9905788655788655
MPN,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
MPO,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
MRN,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
MS,0.9863013698630136,6.234846741059556e-05,0.08213788341666042,0.9864864864864865,0.990967365967366
MY-mot,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
MY-sat,1.0,6.84080754865577e-05,0.083246162424863,1.0,0.9903637222484648
MY-sen,0.9657534246575342,5.8959230350806927e-05,0.08044523717119141,0.9668874172185431,0.9910840932117528
