,Degree,Betweenness,Eigenvector_Centrality,Closeness,Clustering_Coefficient
PA,0.9931506849315068,5.934022916579403e-05,0.08256473056842803,0.9931972789115646,0.9914750957854406
PAG,0.9726027397260273,5.467817352310442e-05,0.08087374209609774,0.9733333333333334,0.9918090100889022
PAR,0.9794520547945205,5.25087285110797e-05,0.0814631190283795,0.9798657718120806,0.9922190485570768
PB,0.9931506849315068,5.934022916579404e-05,0.08256473056842803,0.9931972789115646,0.9914750957854406
PBG,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
PCN,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
PD,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
PERI,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
PF,0.9931506849315068,5.934022916579404e-05,0.08256473056842803,0.9931972789115646,0.9914750957854406
PH,0.9726027397260273,5.333871915283893e-05,0.0809116351717385,0.9733333333333334,0.9920087903306363
PL,0.9931506849315068,5.449999105574296e-05,0.08259166789167299,0.9931972789115646,0.9921455938697318
PMd,0.9931506849315068,5.304520223706772e-05,0.08259961878964954,0.9931972789115646,0.9923371647509579
PMv,0.9794520547945205,5.464526773483156e-05,0.08146285311205921,0.9798657718120806,0.9919235693883581
PN,0.9794520547945205,5.5990166578169414e-05,0.08144378691189469,0.9798657718120806,0.991726583275879
POST,0.9863013698630136,5.530126777875101e-05,0.0820176875143358,0.9864864864864865,0.991938616938617
PP,0.9931506849315068,5.866568109759689e-05,0.08256853317180811,0.9931972789115646,0.9915708812260536
PPN,0.9726027397260273,5.733054920732742e-05,0.08086600393117742,0.9733333333333334,0.991409449605434
PR,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
PRE,0.9726027397260273,5.333871915283893e-05,0.0809116351717385,0.9733333333333334,0.9920087903306363
PRT,0.9726027397260273,5.333871915283893e-05,0.0809116351717385,0.9733333333333334,0.9920087903306363
PS,0.9931506849315068,5.934022916579403e-05,0.08256473056842803,0.9931972789115646,0.9914750957854406
PST,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
PSTN,0.9931506849315068,5.304520223706772e-05,0.08259961878964955,0.9931972789115646,0.9923371647509579
PTLp,0.9863013698630136,5.665554323783833e-05,0.08201016208247171,0.9864864864864865,0.9917443667443667
PVT,0.9794520547945205,5.602785408465052e-05,0.08145527449693105,0.9798657718120806,0.991726583275879
PVZ,0.9726027397260273,5.333871915283893e-05,0.0809116351717385,0.9733333333333334,0.9920087903306363
PeF,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
ProS,0.9931506849315068,5.934022916579404e-05,0.08256473056842803,0.9931972789115646,0.9914750957854406
RCH,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
RE,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
RH,0.9931506849315068,5.934022916579403e-05,0.08256473056842803,0.9931972789115646,0.9914750957854406
RL,0.9863013698630136,5.666032633089366e-05,0.08201002912431157,0.9864864864864865,0.9917443667443667
RN,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
RR,0.9931506849315068,5.934022916579403e-05,0.08256473056842803,0.9931972789115646,0.9914750957854406
RSP,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
RT,0.9794520547945205,5.602785408465052e-05,0.08145527449693105,0.9798657718120806,0.991726583275879
SAG,0.9931506849315068,5.934022916579403e-05,0.08256473056842803,0.9931972789115646,0.9914750957854406
SBPV,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
SCH,0.9931506849315068,5.79957882237481e-05,0.0825724155500843,0.9931972789115646,0.9916666666666667
SCm,0.9931506849315068,5.733054920732742e-05,0.08257637770325656,0.9931972789115646,0.9917624521072796
SCs,0.9931506849315068,5.934022916579403e-05,0.08256473056842803,0.9931972789115646,0.9914750957854406
SF,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
SFO,0.9863013698630136,5.384392639400989e-05,0.08202550545415221,0.9864864864864865,0.9921328671328671
SH,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
SI,0.9863013698630136,5.80235752584539e-05,0.08200625311256352,0.9864864864864865,0.9915501165501166
SNc,0.9931506849315068,5.934022916579403e-05,0.08256473056842803,0.9931972789115646,0.9914750957854406
SNr,0.9931506849315068,5.934022916579404e-05,0.08256473056842803,0.9931972789115646,0.9914750957854406
SPA,0.9931506849315068,5.733054920732742e-05,0.08257637770325656,0.9931972789115646,0.9917624521072796
SPF,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
SS,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
STN,0.9794520547945205,5.330063427626504e-05,0.08145921005847129,0.9798657718120806,0.9921205555008372
SUB,0.9931506849315068,5.304520223706772e-05,0.08259961878964955,0.9931972789115646,0.9923371647509579
TEa,0.9863013698630136,5.80235752584539e-05,0.0820062531125635,0.9864864864864865,0.9915501165501166
TRS,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
TU,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
VAL,0.9931506849315068,5.304520223706772e-05,0.08259961878964955,0.9931972789115646,0.9923371647509579
VERM,0.9931506849315068,5.934022916579403e-05,0.08256473056842803,0.9931972789115646,0.9914750957854406
VIS,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
VISC,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
VLPO,0.9931506849315068,5.733054920732742e-05,0.08257637770325656,0.9931972789115646,0.9917624521072796
VM,0.9863013698630136,5.80235752584539e-05,0.0820062531125635,0.9864864864864865,0.9915501165501166
VMH,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
VMPO,0.9931506849315068,5.799565482429821e-05,0.0825724155500843,0.9931972789115646,0.9916666666666667
VP,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
VTA,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
VTN,1.0,5.999176924365307e-05,0.08313086641431679,1.0,0.9914974019839395
VeCB,1.0,5.665554323783833e-05,0.08257640429488859,0.9864864864864865,0.9917443667443667
ZI,0.9794520547945205,5.464526773483156e-05,0.08146285311205921,0.9798657718120806,0.9919235693883581
