,Degree,Betweenness,Eigenvector_Centrality,Closeness,Clustering_Coefficient
DR,0.9863013698630136,3.0327335792517215e-05,0.08172520612564252,0.9864864864864865,0.9955322455322455
ECT,0.9931506849315068,3.164857756462472e-05,0.08228367258665852,0.9931972789115646,0.9954022988505747
ENT,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
EP,0.9863013698630136,2.966209540124942e-05,0.08172902186576349,0.9864864864864865,0.9956293706293706
EW,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
FC,0.9931506849315068,3.097874797166928e-05,0.08228746201133039,0.9931972789115646,0.9954980842911877
FN,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
FS,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
GPe,0.9931506849315068,2.895000022086813e-05,0.08229904080893885,0.9931972789115646,0.9957854406130269
GPi,0.9794520547945205,2.9657442918668438e-05,0.0811628449781582,0.9798657718120806,0.9955678124692209
GU,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
HEM,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
IA,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
IC,0.9931506849315068,3.164857756462472e-05,0.08228367258665852,0.9931972789115646,0.9954022988505747
IF,0.9931506849315068,2.895000022086813e-05,0.08229904080893885,0.9931972789115646,0.9957854406130269
IG,0.9863013698630136,3.098798831901764e-05,0.08172136407007244,0.9864864864864865,0.9954351204351204
ILA,0.9931506849315068,3.0318160062982478e-05,0.08229135669779869,0.9931972789115646,0.9955938697318008
IP,0.9931506849315068,3.098340045425027e-05,0.0822874883267795,0.9931972789115646,0.9954980842911877
IPN,0.9863013698630136,3.032274792774985e-05,0.08172517981019341,0.9864864864864865,0.9955322455322455
LA,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
LC,0.9931506849315068,3.097874797166928e-05,0.08228746201133039,0.9931972789115646,0.9954980842911877
LD,0.9931506849315068,3.164857756462471e-05,0.08228367258665852,0.9931972789115646,0.9954022988505747
LH,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
LHA,0.9931506849315068,3.164857756462472e-05,0.08228367258665852,0.9931972789115646,0.9954022988505747
LPO,0.9931506849315068,3.0987988319017635e-05,0.08228751464222861,0.9931972789115646,0.9954980842911877
LS,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
MA,0.9931506849315068,3.164857756462472e-05,0.08228367258665852,0.9931972789115646,0.9954022988505747
MA3,0.9863013698630136,3.0327335792517215e-05,0.08172520612564252,0.9864864864864865,0.9955322455322455
MBO,0.9931506849315068,3.0318160062982484e-05,0.08229135669779869,0.9931972789115646,0.9955938697318008
MD,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
ME,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
MEA,0.9931506849315068,3.164857756462472e-05,0.08228367258665852,0.9931972789115646,0.9954022988505747
MEPO,0.9931506849315068,3.098798831901764e-05,0.0822875146422286,0.9931972789115646,0.9954980842911877
MEV,0.9794520547945205,3.0318160062982484e-05,0.08115900292258811,0.9798657718120806,0.9954693194129813
MH,0.9931506849315068,3.164857756462472e-05,0.08228367258665852,0.9931972789115646,0.9954022988505747
MO,0.9931506849315068,3.098340045425028e-05,0.0822874883267795,0.9931972789115646,0.9954980842911877
MPN,0.9931506849315068,3.164857756462472e-05,0.08228367258665852,0.9931972789115646,0.9954022988505747
MPO,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
MRN,0.9931506849315068,2.895000022086813e-05,0.08229904080893885,0.9931972789115646,0.9957854406130269
MS,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
MY-mot,0.9794520547945205,3.0318160062982478e-05,0.08115900292258811,0.9798657718120806,0.9954693194129813
MY-sat,0.9657534246575342,2.895000022086813e-05,0.08003412273492484,0.9668874172185431,0.9955420466058764
MY-sen,0.9931506849315068,3.0987988319017635e-05,0.0822875146422286,0.9931972789115646,0.9954980842911877
NB,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
NDB,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
OLF,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
ORB,0.9931506849315068,3.0313507580401493e-05,0.08229133038234958,0.9931972789115646,0.9955938697318008
OT,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
OV,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
P-mot,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
P-sat,0.9794520547945205,2.9652855053901066e-05,0.08116281866270908,0.9798657718120806,0.9955678124692209
P-sen,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
PA,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
PAG,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
PAR,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
PB,0.9931506849315068,3.098340045425027e-05,0.08228748832677948,0.9931972789115646,0.9954980842911877
PBG,0.9863013698630136,3.0327335792517215e-05,0.08172520612564252,0.9864864864864865,0.9955322455322455
PCN,0.9931506849315068,3.098798831901764e-05,0.0822875146422286,0.9931972789115646,0.9954980842911877
PD,0.9931506849315068,3.098340045425027e-05,0.08228748832677948,0.9931972789115646,0.9954980842911877
PERI,0.9931506849315068,3.164857756462472e-05,0.08228367258665852,0.9931972789115646,0.9954022988505747
PF,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
PH,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
PL,0.9931506849315068,3.0313507580401493e-05,0.08229133038234958,0.9931972789115646,0.9955938697318008
PMd,0.9931506849315068,3.098340045425027e-05,0.0822874883267795,0.9931972789115646,0.9954980842911877
PMv,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
PN,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
POST,0.9863013698630136,2.9657442918668438e-05,0.0817290481812126,0.9864864864864865,0.9956293706293706
PP,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
PPN,0.9863013698630136,3.0987988319017635e-05,0.08172136407007242,0.9864864864864865,0.9954351204351204
PR,0.9931506849315068,3.0987988319017635e-05,0.08228751464222861,0.9931972789115646,0.9954980842911877
PRE,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
PRT,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
PS,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
PST,0.9931506849315068,3.164857756462471e-05,0.0822836725866585,0.9931972789115646,0.9954022988505747
PSTN,0.9931506849315068,2.895000022086813e-05,0.08229904080893885,0.9931972789115646,0.9957854406130269
PTLp,0.9931506849315068,3.0313507580401493e-05,0.08229133038234956,0.9931972789115646,0.9955938697318008
PVT,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
PVZ,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
PeF,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
ProS,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
RCH,0.9931506849315068,3.164857756462471e-05,0.0822836725866585,0.9931972789115646,0.9954022988505747
RE,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
RH,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
RL,0.9794520547945205,2.9657442918668438e-05,0.08116284497815818,0.9798657718120806,0.9955678124692209
RN,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
RR,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
RSP,0.9931506849315068,3.098340045425027e-05,0.08228748832677948,0.9931972789115646,0.9954980842911877
RT,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
SAG,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
SBPV,0.9931506849315068,3.164857756462471e-05,0.08228367258665852,0.9931972789115646,0.9954022988505747
SCH,0.9931506849315068,3.0987988319017635e-05,0.0822875146422286,0.9931972789115646,0.9954980842911877
SCm,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
SCs,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
SF,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
SFO,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
SH,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
SI,0.9931506849315068,3.0318160062982478e-05,0.08229135669779868,0.9931972789115646,0.9955938697318008
SNc,0.9931506849315068,2.895000022086813e-05,0.08229904080893885,0.9931972789115646,0.9957854406130269
SNr,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
SPA,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
SPF,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
SS,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
STN,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
SUB,0.9931506849315068,3.0313507580401493e-05,0.08229133038234956,0.9931972789115646,0.9955938697318008
TEa,0.9863013698630136,2.9657442918668438e-05,0.0817290481812126,0.9864864864864865,0.9956293706293706
TRS,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
TU,0.9931506849315068,3.0318160062982484e-05,0.08229135669779868,0.9931972789115646,0.9955938697318008
VAL,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
VERM,0.9863013698630136,3.0987988319017635e-05,0.08172136407007244,0.9864864864864865,0.9954351204351204
VIS,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
VISC,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
VLPO,0.9931506849315068,3.0987988319017635e-05,0.0822875146422286,0.9931972789115646,0.9954980842911877
VM,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
VMH,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
VMPO,0.9863013698630136,3.0327335792517215e-05,0.08172520612564252,0.9864864864864865,0.9955322455322455
VP,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
VTA,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
VTN,1.0,3.230011764248375e-05,0.0828459284723464,1.0,0.9953708077468115
VeCB,1.0136986301369864,3.230011764248375e-05,0.08341592110007265,1.0,0.9953708077468115
ZI,0.9931506849315068,3.098340045425027e-05,0.08228748832677948,0.9931972789115646,0.9954980842911877
